カテゴリ,工事項目コード,工事項目名,仕様・規格,単位,最小単価,標準単価,最大単価,備考
構造物,G-103,石積み（面積み）,規則正しい石積み,㎡,18000,25000,32000,基礎工事込み・モルタル使用
構造物,G-104,石積み（崩れ積み）,自然風石積み,㎡,22000,30000,38000,基礎工事込み・空積み
構造物,G-105,石積み（ロックガーデン）,庭園用装飾石積み,㎡,30000,40000,50000,特殊施工・排水考慮
舗装,G-004,石貼り,自然石平面貼り,㎡,12000,18000,24000,モルタル張り・目地込み
舗装,G-005,三和土舗装,伝統的土間仕上げ,㎡,8000,12000,16000,消石灰・にがり使用
舗装,G-006,単粒砕石敷きならし（Aランク）,高品質砕石C-40,㎡,1800,2500,3200,転圧込み・厚さ10cm
舗装,G-007,単粒砕石敷きならし（Bランク）,標準品質砕石C-40,㎡,1200,1800,2400,転圧込み・厚さ10cm
資材,M-001,防草シート（Aランク）,高耐久・高遮光タイプ,㎡,800,1200,1600,厚み1.0mm・UV加工
資材,M-002,防草シート（Bランク）,標準仕様タイプ,㎡,400,600,800,厚み0.5mm・標準品
機械,K-001,移動式グリーン車,芝生管理車両,台/日,25000,35000,45000,オペレーター込み
機械,K-002,小型整地車両,ミニショベル・整地仕様,台/日,30000,40000,50000,オペレーター込み
機械,K-003,転圧機,振動プレート・歩行式,台/日,8000,12000,16000,燃料・オペレーター込み
機械,K-004,モルタルミキサー,電動・可搬式,台/日,5000,8000,12000,電源・清掃込み
